disassembled_line_length_64,disassembled_line_length_62,disassembled_line_length_59,disassembled_line_length_73,disassembled_line_length_72,disassembled_line_length_63,disassembled_line_length_38,disassembled_line_length_69,disassembled_line_length_80,disassembled_line_length_37,disassembled_line_length_81
1927.0,14261.0,10121.0,660.0,254.0,5457.0,3773.0,2106.0,80.0,129.0,73.0
746.0,8061.0,2904.0,204.0,110.0,2786.0,236.0,348.0,4.0,10.0,0.0
746.0,8060.0,2904.0,204.0,110.0,2786.0,236.0,348.0,4.0,10.0,0.0
1104.0,7426.0,5216.0,357.0,143.0,2922.0,2072.0,1062.0,43.0,57.0,34.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
438.0,3649.0,1863.0,58.0,34.0,975.0,81.0,201.0,7.0,13.0,18.0
892.0,7049.0,5040.0,351.0,137.0,2814.0,2070.0,1057.0,43.0,57.0,34.0
1719.0,13723.0,9621.0,606.0,258.0,5836.0,3568.0,2002.0,77.0,134.0,68.0
1358.0,10877.0,7726.0,535.0,193.0,4178.0,3003.0,1644.0,64.0,94.0,58.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
389.0,2619.0,1325.0,59.0,40.0,816.0,428.0,173.0,3.0,16.0,4.0
13.0,58.0,108.0,8.0,8.0,19.0,2.0,1.0,0.0,0.0,0.0
13.0,58.0,108.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
14.0,58.0,106.0,8.0,8.0,19.0,1.0,2.0,0.0,0.0,0.0
14.0,58.0,106.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
277.0,776.0,416.0,23.0,18.0,275.0,96.0,61.0,1.0,1.0,1.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
14.0,58.0,106.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
786.0,6162.0,4398.0,305.0,126.0,2427.0,1715.0,929.0,40.0,49.0,31.0
1470.0,11354.0,8102.0,528.0,210.0,4578.0,3265.0,1706.0,69.0,125.0,53.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,237.0,348.0,4.0,10.0,0.0
13.0,58.0,108.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
1235.0,8246.0,5938.0,387.0,159.0,3200.0,2207.0,1199.0,46.0,67.0,35.0
13.0,58.0,108.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
14.0,58.0,106.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
13.0,58.0,108.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
1799.0,12191.0,8721.0,569.0,213.0,4782.0,3279.0,1796.0,68.0,110.0,56.0
13.0,58.0,108.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
13.0,58.0,108.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
13.0,58.0,108.0,8.0,8.0,19.0,1.0,2.0,0.0,0.0,0.0
933.0,7319.0,5234.0,378.0,143.0,2888.0,2067.0,1107.0,47.0,68.0,35.0
13.0,58.0,108.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
13.0,58.0,108.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
1043.0,7432.0,5081.0,332.0,134.0,3010.0,2004.0,1041.0,41.0,59.0,33.0
872.0,5528.0,3836.0,253.0,112.0,2125.0,1446.0,796.0,32.0,44.0,26.0
13.0,58.0,108.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
438.0,3649.0,1863.0,58.0,34.0,975.0,81.0,201.0,7.0,13.0,18.0
1466.0,11369.0,8299.0,546.0,213.0,4411.0,3164.0,1764.0,67.0,105.0,50.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
1034.0,6253.0,4109.0,261.0,100.0,2407.0,1524.0,843.0,29.0,53.0,25.0
746.0,8060.0,2904.0,204.0,110.0,2786.0,236.0,348.0,4.0,10.0,0.0
14.0,58.0,106.0,8.0,8.0,19.0,1.0,1.0,0.0,0.0,0.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
438.0,3650.0,1864.0,58.0,34.0,975.0,81.0,201.0,7.0,13.0,18.0
1126.0,8820.0,6303.0,420.0,161.0,3453.0,2472.0,1350.0,52.0,85.0,42.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
439.0,3650.0,1863.0,58.0,34.0,975.0,81.0,201.0,7.0,13.0,18.0
747.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
0.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1638.0,11268.0,7975.0,526.0,216.0,4381.0,3034.0,1688.0,67.0,106.0,52.0
962.0,6204.0,4359.0,299.0,127.0,2406.0,1657.0,893.0,35.0,49.0,29.0
