disassembled_line_length_40,disassembled_line_length_67,disassembled_line_length_49,disassembled_line_length_19,disassembled_line_length_31,disassembled_line_length_48,disassembled_line_length_50,disassembled_line_length_44,disassembled_line_length_56,disassembled_line_length_57
136192.0,3282.0,131650.0,1.0,1.0,101207.0,66051.0,150081.0,96992.0,12096.0
119048.0,9011.0,146484.0,1.0,1.0,247189.0,165059.0,282821.0,122864.0,19772.0
119048.0,9011.0,146483.0,1.0,1.0,247189.0,165058.0,282820.0,122863.0,19772.0
80888.0,1882.0,78635.0,1.0,1.0,72338.0,98424.0,105544.0,64261.0,15080.0
119050.0,9011.0,146485.0,1.0,1.0,247189.0,165060.0,282820.0,122863.0,19772.0
41381.0,1281.0,86472.0,2.0,2.0,118813.0,52746.0,119966.0,42756.0,8022.0
77532.0,1414.0,72673.0,1.0,1.0,61236.0,93669.0,80831.0,59802.0,13877.0
179364.0,2747.0,130381.0,1.0,1.0,102596.0,158038.0,135151.0,98925.0,18889.0
102005.0,2169.0,96952.0,1.0,1.0,68670.0,44007.0,96488.0,70904.0,8007.0
119048.0,9011.0,146484.0,1.0,1.0,247190.0,165058.0,282819.0,122865.0,19772.0
119048.0,9011.0,146483.0,1.0,1.0,247190.0,165058.0,282822.0,122863.0,19772.0
72931.0,1434.0,56518.0,1.0,1.0,99386.0,348457.0,129795.0,81004.0,47045.0
428.0,110.0,335.0,1.0,1.0,1900.0,2866.0,941.0,1135.0,326.0
429.0,110.0,335.0,1.0,1.0,1902.0,2867.0,939.0,1134.0,326.0
425.0,110.0,336.0,1.0,1.0,1909.0,2867.0,941.0,1133.0,327.0
425.0,110.0,338.0,1.0,1.0,1907.0,2867.0,940.0,1133.0,327.0
6637.0,560.0,10680.0,1.0,1.0,15065.0,9216.0,29952.0,7347.0,1750.0
119049.0,9011.0,146484.0,1.0,1.0,247190.0,165059.0,282821.0,122864.0,19772.0
426.0,110.0,337.0,1.0,1.0,1906.0,2867.0,941.0,1134.0,327.0
58360.0,1224.0,56104.0,1.0,1.0,39855.0,26530.0,56083.0,40657.0,4631.0
135779.0,2385.0,129795.0,1.0,1.0,112727.0,211590.0,145228.0,106048.0,30651.0
119048.0,9011.0,146482.0,1.0,1.0,247193.0,165058.0,282821.0,122863.0,19772.0
429.0,110.0,334.0,1.0,1.0,1900.0,2866.0,937.0,1134.0,327.0
77834.0,2064.0,77379.0,1.0,1.0,62716.0,37110.0,96629.0,56528.0,7778.0
429.0,110.0,335.0,1.0,1.0,1900.0,2865.0,943.0,1135.0,326.0
425.0,110.0,336.0,1.0,1.0,1906.0,2867.0,941.0,1134.0,327.0
428.0,110.0,336.0,1.0,1.0,1902.0,2866.0,940.0,1135.0,326.0
116424.0,2846.0,116550.0,1.0,1.0,90388.0,50637.0,134165.0,82597.0,10832.0
428.0,110.0,334.0,1.0,1.0,1900.0,2865.0,940.0,1135.0,326.0
428.0,110.0,334.0,1.0,1.0,1901.0,2866.0,941.0,1136.0,326.0
429.0,110.0,336.0,1.0,1.0,1900.0,2866.0,940.0,1134.0,326.0
69338.0,1555.0,66567.0,1.0,1.0,47941.0,33051.0,66929.0,48384.0,5648.0
