"bin_strings_('mode.', '.text')","bin_strings_('.text', '`.rdata')","bin_strings_('`.rdata', '@.data')","bin_strings_('@.data', '.rsrc')","bin_strings_('>""u:F', 'XPVSS')","bin_strings_('LeaveCriticalSection', 'EnterCriticalSection')","bin_strings_('LockResource', 'LoadResource')","bin_strings_('_exit', '_XcptFilter')","bin_strings_('_acmdln', '__getmainargs')","bin_strings_('__getmainargs', '_initterm')","bin_strings_('_initterm', '__setusermatherr')","bin_strings_('__setusermatherr', '_adjust_fdiv')","bin_strings_('_adjust_fdiv', '__p__commode')","bin_strings_('__p__commode', '__p__fmode')","bin_strings_('__p__fmode', '__set_app_type')","bin_strings_('Qkkbal', 'wn>Jj')","bin_strings_('GetProcAddress', 'LoadLibraryA')","bin_strings_('InitializeCriticalSection', 'DeleteCriticalSection')","bin_strings_('FreeLibrary', 'HeapAlloc')","bin_strings_('RegCloseKey', 'RegQueryValueExA')","bin_strings_('RegQueryValueExA', 'RegSetValueExA')","bin_strings_('CloseHandle', 'DeleteFileW')","bin_strings_('ReadFile', 'WriteFile')","bin_strings_('stream', 'error')","bin_strings_('error', 'file')","bin_strings_('too', 'many')","bin_strings_('.text', '`.rsrc')","bin_strings_('`.rsrc', '@.reloc')","bin_strings_('lSystem.Resources.ResourceReader,', 'mscorlib,')","bin_strings_('Culture=neutral,', 'PublicKeyToken=b77a5c561934e089#System.Resources.RuntimeResourceSet')","bin_strings_('too', 'large')","bin_strings_('must', 'be')","bin_strings_('%s', 'is')","bin_strings_('is', 'a')","bin_strings_('EncodePointer', 'DecodePointer')","bin_strings_('v2.0.50727', '#Strings')","bin_strings_('#Strings', '#GUID')","bin_strings_('#GUID', '#Blob')","bin_strings_('AssemblyProductAttribute', 'AssemblyCopyrightAttribute')","bin_strings_('CompilationRelaxationsAttribute', 'RuntimeCompatibilityAttribute')","bin_strings_('RuntimeTypeHandle', 'GetTypeFromHandle')","bin_strings_('on', 'the')","bin_strings_('_CorExeMain', 'mscoree.dll')","bin_strings_('version=""1.0.0.0""', 'name=""MyApplication.app""/>')","bin_strings_('name=""MyApplication.app""/>', '<trustInfo')","bin_strings_('<trustInfo', 'xmlns=""urn:schemas-microsoft-com:asm.v2"">')","bin_strings_('xmlns=""urn:schemas-microsoft-com:asm.v2"">', '<security>')","bin_strings_('<security>', '<requestedPrivileges')","bin_strings_('<requestedPrivileges', 'xmlns=""urn:schemas-microsoft-com:asm.v3"">')","bin_strings_('<requestedExecutionLevel', 'level=""asInvoker""')","bin_strings_('uiAccess=""false""/>', '</requestedPrivileges>')","bin_strings_('<requestedPrivileges>', '<requestedExecutionLevel')","bin_strings_('.text', '`.data')","bin_strings_('`.data', '.rsrc')","bin_strings_('This', 'program')","bin_strings_('program', 'must')","bin_strings_('run', 'under')","bin_strings_('under', 'Win32')","bin_strings_('PPRTj', 'YZXtp')","bin_strings_('_^[YY]', '_^[YY]')","bin_strings_('SVWUQ', 'Z]_^[')","bin_strings_('YZ]_^[', '_^[YY]')","bin_strings_('Z]_^[', 'YZ]_^[')","bin_strings_('Error', 'Runtime')","bin_strings_('Runtime', 'error')","bin_strings_('at', '00000000')","bin_strings_('oleaut32.dll', 'SysFreeString')","bin_strings_('SysFreeString', 'SysReAllocStringLen')","bin_strings_('user32.dll', 'GetKeyboardType')","bin_strings_('GetThreadLocale', 'GetStartupInfoA')","bin_strings_('WriteFile', 'UnhandledExceptionFilter')","bin_strings_('UnhandledExceptionFilter', 'RtlUnwind')","bin_strings_('kernel32.dll', 'TlsSetValue')","bin_strings_('TlsGetValue', 'LocalAlloc')","bin_strings_('DeleteObject', 'DeleteDC')","bin_strings_('CreateDIBSection', 'CreateCompatibleDC')","bin_strings_('ReleaseMutex', 'ReadFile')","bin_strings_('FindNextFileA', 'FindFirstFileA')","bin_strings_('`DATA', '.idata')","bin_strings_('ExitProcess', 'WriteFile')","bin_strings_('Win32', '`DATA')","bin_strings_('RegOpenKeyExA', 'RegCloseKey')","bin_strings_('.rsrc', 'MSVBVM60.DLL')","bin_strings_('__vbaHresultCheckObj', '__vbaNew2')","bin_strings_('__vbaStrI2', '_CIcos')","bin_strings_('_CIcos', '_adj_fptan')","bin_strings_('_adj_fdiv_m32', '__vbaAryVar')","bin_strings_('__vbaAryVar', '__vbaAryDestruct')","bin_strings_('_adj_fdivr_m16i', '__vbaVarIndexLoad')","bin_strings_('__vbaGenerateBoundsError', '__vbaStrCmp')","bin_strings_('__vbaI2I4', 'DllFunctionCall')","bin_strings_('_adj_fprem', '_adj_fdivr_m64')","bin_strings_('__vbaI2Var', '_CIlog')","bin_strings_('_CIlog', '__vbaErrorOverflow')","bin_strings_('_adj_fdiv_m32i', '_adj_fdivr_m32i')","bin_strings_('_adj_fdivr_m32i', '__vbaStrCopy')","bin_strings_('__vbaStrVarCopy', '_allmul')","bin_strings_('_CItan', '__vbaAryUnlock')","bin_strings_('_adj_fptan', '__vbaVarMove')","bin_strings_('__vbaChkstk', '__vbaFileClose')"
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
