disassembled_number_of_lines,disassembled_line_length_49,disassembled_line_length_56,disassembled_line_length_44,disassembled_line_length_55,disassembled_line_length_43,disassembled_line_length_62,disassembled_line_length_59,disassembled_line_length_45,disassembled_line_length_63
1061094.0,131650.0,96992.0,150081.0,50364.0,29170.0,14261.0,10121.0,14179.0,5457.0
1576618.0,146484.0,122864.0,282821.0,113365.0,18388.0,8061.0,2904.0,3504.0,2786.0
1576616.0,146483.0,122863.0,282820.0,113365.0,18388.0,8060.0,2904.0,3504.0,2786.0
794423.0,78635.0,64261.0,105544.0,34899.0,18971.0,7426.0,5216.0,7562.0,2922.0
1576621.0,146485.0,122863.0,282820.0,113366.0,18388.0,8060.0,2904.0,3504.0,2785.0
666256.0,86472.0,42756.0,119966.0,47976.0,6316.0,3649.0,1863.0,5185.0,975.0
716595.0,72673.0,59802.0,80831.0,30218.0,18533.0,7049.0,5040.0,6779.0,2814.0
1286598.0,130381.0,98925.0,135151.0,51077.0,32975.0,13723.0,9621.0,12617.0,5836.0
748018.0,96952.0,70904.0,96488.0,35212.0,22059.0,10877.0,7726.0,10456.0,4178.0
1576616.0,146484.0,122865.0,282819.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
1576619.0,146483.0,122863.0,282822.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
1360571.0,56518.0,81004.0,129795.0,31449.0,25449.0,2619.0,1325.0,2549.0,816.0
13253.0,335.0,1135.0,941.0,266.0,647.0,58.0,108.0,6.0,19.0
13252.0,335.0,1134.0,939.0,264.0,647.0,58.0,108.0,6.0,19.0
13247.0,336.0,1133.0,941.0,265.0,648.0,58.0,106.0,6.0,19.0
13249.0,338.0,1133.0,940.0,264.0,649.0,58.0,106.0,6.0,19.0
115275.0,10680.0,7347.0,29952.0,6740.0,1113.0,776.0,416.0,1177.0,275.0
1576624.0,146484.0,122864.0,282821.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
13247.0,337.0,1134.0,941.0,265.0,648.0,58.0,106.0,6.0,19.0
433124.0,56104.0,40657.0,56083.0,20686.0,12625.0,6162.0,4398.0,5894.0,2427.0
1362679.0,129795.0,106048.0,145228.0,55631.0,38372.0,11354.0,8102.0,10880.0,4578.0
1576620.0,146482.0,122863.0,282821.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
13248.0,334.0,1134.0,937.0,265.0,648.0,58.0,108.0,6.0,19.0
630346.0,77379.0,56528.0,96629.0,30492.0,16613.0,8246.0,5938.0,8267.0,3200.0
13254.0,335.0,1135.0,943.0,264.0,648.0,58.0,108.0,6.0,19.0
13245.0,336.0,1134.0,941.0,264.0,648.0,58.0,106.0,6.0,19.0
13252.0,336.0,1135.0,940.0,264.0,647.0,58.0,108.0,6.0,19.0
915714.0,116550.0,82597.0,134165.0,45357.0,24739.0,12191.0,8721.0,12352.0,4782.0
13249.0,334.0,1135.0,940.0,264.0,647.0,58.0,108.0,6.0,19.0
13251.0,334.0,1136.0,941.0,264.0,647.0,58.0,108.0,6.0,19.0
13252.0,336.0,1134.0,940.0,264.0,647.0,58.0,108.0,6.0,19.0
518613.0,66567.0,48384.0,66929.0,24495.0,14913.0,7319.0,5234.0,6956.0,2888.0
13254.0,336.0,1134.0,940.0,264.0,647.0,58.0,108.0,7.0,19.0
1576615.0,146483.0,122863.0,282819.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
1576619.0,146485.0,122863.0,282822.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
13254.0,335.0,1134.0,942.0,265.0,647.0,58.0,108.0,6.0,19.0
